source_id,reply_id,argument,claim,evidence,unverifiable_claim,verifiable_claim,reason,external_evidence,internal_evidence,sarcasm,toxic_language
1176409661127442432,1176422199609167872,0,0,0,0,0,0,0,0,0,1
1179628376346234880,1179637953997529093,1,1,1,1,0,1,0,0,0,0
1178196802790670336,1178416187417518080,0,0,0,0,0,0,0,0,0,1
1177323067338612736,1177656946318548998,0,0,0,0,0,0,0,0,1,1
1179060894703206402,1179119821977468930,1,1,0,1,0,0,0,0,0,0
1177492121143525376,1177529864628428800,1,1,0,1,0,0,0,0,0,0
1178240790419660800,1178251683954151424,1,1,1,1,0,1,1,0,0,0
1180124893779828736,1180125416494903298,0,0,0,0,0,0,0,0,1,0
1177145417047445504,1177853855356407808,1,1,1,1,0,1,0,0,0,0
1177233801728028673,1177272612092809223,1,0,1,0,0,0,1,0,0,0
1179324740290437120,1179329609533399040,1,1,0,1,1,0,0,0,1,0
1177800608633495552,1177939568957542400,1,1,1,1,1,0,1,0,0,0
1178561676888723456,1178587946661928960,0,0,0,0,0,0,0,0,1,1
1178238666889666560,1178244666329899010,0,0,0,0,0,0,0,0,1,0
1178652466688282624,1178672519349460992,1,1,0,1,1,0,0,0,0,0
1179513840112979974,1179518830969794562,1,1,1,1,0,1,0,0,0,0
1177869036295774208,1178077399369621507,1,1,0,1,0,0,0,0,0,0
1178200402912845824,1178212831495442432,1,1,0,1,0,0,0,0,0,0
1177195856665153536,1177196648918859776,1,1,1,1,1,0,1,0,0,0
1179058796217475078,1179071260942389248,1,1,0,1,0,0,0,0,0,0
1179165141142777856,1179277426641293312,0,0,0,0,0,0,0,0,1,0
1177876311555153921,1177883932064468992,0,0,0,0,0,0,0,0,0,1
1177990207435689985,1177991707129995270,1,1,1,1,0,0,1,0,0,0
1178687530776059905,1178717098782142469,1,1,0,1,0,0,0,0,0,0
1179841091740344321,1179843596360540162,1,1,1,1,1,0,1,0,0,0
1178609062998679553,1178630165720653825,1,1,1,1,0,0,1,0,0,0
1177665284024541189,1177672553097248769,1,1,0,1,1,0,0,0,0,0
1177936396599910407,1177936588808081411,1,1,0,1,0,0,0,0,0,0
1178914664782188544,1179036906576736256,0,0,0,0,0,0,0,0,0,1
1178785153050664961,1179000440492560385,1,1,1,1,1,0,1,0,0,0
1179465650210824192,1179478058631417857,1,1,0,1,1,0,0,0,0,0
1180031490501087233,1180032941184995328,1,0,1,0,0,0,1,0,0,0
1179170375520997378,1179284301097164805,1,1,1,0,1,0,1,0,0,0
1177137731241160704,1177142595413258241,1,1,1,0,1,1,0,0,0,0
1178235624886882307,1178235626753286144,1,1,0,1,0,0,0,0,0,0
1180044476397568000,1180048041941835777,1,1,1,1,0,0,1,0,0,0
1178568162897518592,1179058376862572548,0,0,0,0,0,0,0,0,0,1
1176952709095854080,1176953353529692160,1,1,0,1,1,0,0,0,0,0
1179267932939010049,1179396133594025987,1,1,0,1,0,0,0,0,0,0
1177224503186927621,1177260861154570241,1,1,0,1,0,0,0,0,0,0
1177864215706689537,1178009238947409921,1,1,1,1,0,0,1,0,0,0
1176401282879426560,1178638946022100992,0,0,0,0,0,0,0,0,0,0
1177707405280452611,1177724812506128385,1,0,1,0,0,0,1,0,0,0
